Regencies_Cities;X1;X2;X3;X4;X5;X6
BANGGAI KEPULAUAN;16.07;1.79;66.08;0.28;0.35;1.48
BANGGAI;28.55;1.2;71.08;0.315;0.28;3.09
MOROWALI;15.86;2.03;72.55;0.285;0.54;3.2
POSO;40.78;2.4;71.93;0.256;0.66;1.68
DONGGALA;50.22;2.82;66.25;0.28;0.72;2.84
TOLI-TOLI;30.61;0.153;66.76;0.295;0.3;3.31
BUOL;21.84;1.79;68.72;0.266;0.34;3.07
PARIGI MOUTONG;74.6;3.84;66.26;0.279;1.37;1.71
TOJO UNA-UNA;25.33;2.8;65.54;0.25;0.78;3.05
SIGI;29.94;2.01;69.05;0.265;0.48;3.02
BANGGAI LAUT;10.32;2.23;66.22;0.247;0.61;3.6
MOROWALI UTARA;17.49;2.18;68.97;0.269;0.65;2.25
PALU;26.75;0.94;82.02;0.355;0.25;6.15
